step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
271,1156920,2168,0.007227868069191663,1.0,1.0,,,
272,1159872,2176,0.010541997245112565,0.625,0.9649122807017544,,,
273,1163464,2184,0.011023149645991642,0.375,0.9090909090909091,0.008851340919066092,0.625,0.9305555555555556
274,1165968,2192,0.010697167096337803,0.5,0.9230769230769231,,,
275,1168472,2200,0.01287616188672735,0.5,0.9431818181818182,,,
276,1172000,2208,0.00941711591440833,0.5,0.9452054794520548,,,
277,1175336,2216,0.008960002325094222,0.5,0.9402985074626866,,,
278,1180912,2224,0.007597263795143832,0.75,0.9508196721311475,,,
279,1184248,2232,0.009292589056131577,0.625,0.9629629629629629,,,
280,1189248,2240,0.007738214906222212,0.625,0.9428571428571428,,,
281,1193800,2248,0.007071860868732351,0.75,0.9625,0.0092411350685311,0.625,0.9605263157894737
282,1200912,2256,0.00476555159591488,0.625,0.9529411764705882,,,
283,1204504,2264,0.009964346873083558,0.625,0.9594594594594594,,,
284,1209312,2272,0.00855431486963273,0.625,0.9545454545454546,,,
285,1212392,2280,0.011870498290147446,0.375,0.946236559139785,,,
286,1216432,2288,0.009663802095301197,0.625,0.963855421686747,,,
287,1220728,2296,0.007292781255462729,0.625,0.9411764705882353,,,
288,1230656,2304,0.0047394762272169695,0.5,0.9473684210526315,,,
289,1233160,2312,0.010202192623884651,0.625,0.9402985074626866,0.010992422791832128,0.75,0.9682539682539683
290,1235664,2320,0.010002571742987363,0.5,0.9354838709677419,,,
291,1240664,2328,0.008620676735764962,0.625,0.9518072289156626,,,
292,1244896,2336,0.009843400304559472,0.375,0.926829268292683,,,
293,1248872,2344,0.005763393056317045,0.75,0.978494623655914,,,
294,1252720,2352,0.00883817648594332,0.75,0.9809523809523809,,,
295,1259512,2360,0.006336590740479593,0.375,0.9342105263157895,,,
296,1263424,2368,0.007584306368865588,0.5,0.95,,,
297,1265992,2376,0.009549057817886666,0.75,0.972972972972973,0.00836653848983321,0.375,0.9142857142857143
298,1270288,2384,0.008209237446028412,0.5,0.9452054794520548,,,
299,1274008,2392,0.008029943779093374,0.625,0.9420289855072463,,,
300,1283424,2400,0.005644449646672707,0.375,0.9444444444444444,,,
301,1286312,2408,0.007574718164956152,0.875,0.975609756097561,,,
302,1289008,2416,0.008312848326961574,0.75,0.9523809523809523,,,
303,1294456,2424,0.006694400767227805,0.875,0.9886363636363636,,,
304,1298112,2432,0.008782176957612953,0.625,0.961038961038961,,,
305,1303048,2440,0.008212057273093498,0.375,0.9166666666666666,0.011463095346599754,0.625,0.958904109589041
306,1305680,2448,0.012861895308670579,0.5,0.927710843373494,,,
307,1308184,2456,0.007098734191584584,0.75,0.972972972972973,,,
308,1311520,2464,0.00883746719850425,0.75,0.971830985915493,,,
309,1314536,2472,0.010661000602470341,0.625,0.9264705882352942,,,
310,1317808,2480,0.0074756821755263105,0.75,0.975609756097561,,,
311,1321528,2488,0.00820068097296907,0.875,0.9714285714285714,,,
312,1326592,2496,0.0074493811969541255,0.375,0.9305555555555556,,,
313,1330504,2504,0.010766525405316116,0.5,0.9333333333333333,0.009339843434885031,0.625,0.9583333333333334
314,1334992,2512,0.007893628758747773,0.375,0.8939393939393939,,,
315,1340184,2520,0.007094979835025545,0.625,0.9512195121951219,,,
316,1349280,2528,0.0043197445044610506,0.625,0.9487179487179487,,,
317,1352424,2536,0.008425223437466562,0.625,0.957983193277311,,,
318,1356080,2544,0.008229293951337925,0.75,0.9649122807017544,,,
319,1359160,2552,0.00879609964925013,0.875,0.9868421052631579,,,
320,1365504,2560,0.006051413832653721,0.625,0.9647058823529412,,,
321,1370696,2568,0.009619444194651664,0.625,0.9532710280373832,0.009147791023045748,0.625,0.9523809523809523
322,1375120,2576,0.009430904359256465,0.375,0.9066666666666666,,,
323,1383192,2584,0.005086720806838095,0.375,0.9342105263157895,,,
324,1386976,2592,0.008716421085845449,0.75,0.9508196721311475,,,
325,1391144,2600,0.0064397661059396516,0.75,0.9722222222222222,,,
326,1395760,2608,0.00691936530330399,0.75,0.9647058823529412,,,
327,1398840,2616,0.00979273608843358,0.75,0.9714285714285714,,,
328,1402880,2624,0.01114625595006401,0.375,0.890625,,,
329,1405832,2632,0.008457619684263678,0.75,0.974025974025974,0.00484700779725784,0.5,0.9180327868852459
330,1417360,2640,0.003030484383655274,0.625,0.9305555555555556,,,
331,1421272,2648,0.008471108431399215,0.375,0.9454545454545454,,,
332,1423648,2656,0.011071110602903462,0.625,0.9545454545454546,,,
333,1426280,2664,0.010275601786988227,0.625,0.9642857142857143,,,
334,1428144,2672,0.011508428445149474,0.75,0.9761904761904762,,,
335,1430648,2680,0.010812936584287903,0.625,0.9518072289156626,,,
336,1434688,2688,0.008205502300803882,0.375,0.9054054054054054,,,
337,1438088,2696,0.010917024131031745,0.5,0.9382716049382716,0.007964195117406156,0.75,0.9666666666666667
338,1442128,2704,0.008247129325026803,0.5,0.9574468085106383,,,
339,1448664,2712,0.006100880689139111,0.75,0.9491525423728814,,,
340,1451424,2720,0.009270497068115646,0.5,0.8983050847457628,,,
341,1454376,2728,0.008634024827706486,0.5,0.9622641509433962,,,
342,1460464,2736,0.005184571341079271,0.625,0.958904109589041,,,
343,1463736,2744,0.0071844887857343475,0.75,0.9696969696969697,,,
344,1468800,2752,0.008910498554644848,0.375,0.9411764705882353,,,
345,1471432,2760,0.010382691386391842,0.75,0.9722222222222222,0.009027710033174792,0.5,0.9518072289156626
346,1475280,2768,0.008059553790852287,0.75,0.9743589743589743,,,
